conCallAns,execAnswer,execName,,AnsNo ,Avoidance,Repetition,Unprepared
ay29const_Q2_16_22,And you can call it leading or not leading. We are sort of I would say marching to our own beat as opposed to too worried about what some of our competitors are doing overall. And that's sort of up to them. And we will do what we think the market will bear for our brands and what's good for the health of our brands.,Rob Sands,,1,,,
y31_HEINY_Q4_16_55,"Yes. I want to be crystal clear on that management is appointed by the board, and has the full competence of the board to carry these forward. That's one. Secondly, SEBI has issued a executive order to this mister Chairman of the Board out of his function. It's not the will of the shareholders to do it nor on board of directors, it is just a court order that have to be executed. It's for Dr. Mallya to react on that if he wants to have a stay on that position.",Jean-Francois van Boxmeer,,2,,,
_the_Pres_09_16_108,"What we're seeing is it's positive for the brand equity. We also have figured out a lot of the principles how to merchandise, which makes sure that as you launch the new product, you use it as a big platform to merchandise your core range and drive sales of that.",John Kennedy,,3,,,
_BrownF.B_Q1_16_55,"It certainly was an element of our - what I'll call rest of the portfolio outside of the Jack Daniel's brand having a very good quarter. If you look at the - and that's a rest of portfolio, I know you are referring to Schedule B, I am talking about everything, other than Jack Daniel's. And the Tequila has had a really good quarter that might be one of the contributing factors, Woodford Reserve, it gets larger and the larger it gets and the more it grows at 26%, the more it makes contributions, it's not specifically called out here, but even contributions from brands like Old Forester, Sonoma Cutrer, et cetera. Yes, it was a good quarter for the non-Jack Daniel's brands. But I also don't want to take away from the fact that we expect the Jack Daniel's family and particularly Jack Daniel's Tennessee Whiskey over the balance of the year to post better numbers than the 3% that was in there. So, but I think it's a fair comment. I mean, it was a good quarter and there were some, as all these brands have when you just look at 90 days at the beginning of a year, you have all kinds of things that are influencing sort of a quarterly number. So, I wouldn't expect or for example, our Tequilas to continue to run at those rates for the full year. But nonetheless we do think they are performing better than they were in the recent past.",Paul Varga,,4,,,
y31_HEINY_Q2_16_16,"Competitive dynamics will change for sure and it's going to be depending on who is the acquirer but then it starts to be speculation. But specifically let me repeat to your private equity thing, typically you need also an exit for that and you would not acquire it for a cheap price in a market which is very competitive, but its only speculation.",Jean-Francois van Boxmeer,,5,,,
_may31_TSRYY_17_44,"We've also adjusted our spends down, our cost of doing business in Europe which is why we feel pretty confident we can continue to hit double digit EBITS margins because we're managing - we're matching our investments and our costs to what that portfolio is that we are selling. And I would say that double digit EBITS margin on any commercial business anywhere in the world is tremendous. So hitting 12% EBITS margin is great.",Michael Clarke,,6,,,
_BrownF.B_Q3_17_16,"I know at our company, we're a little bit more cautious, and even in the instances where we took pricing this past year with Woodford Reserve and Old Forester, in the short-term, they felt the impact on the shelf once the prices got in there, and I think it's a reflection of the fact that there are alternatives out there. I mean, there's just a lot of competition in this U.S. bourbon and spirits market, and when there's a lot of choice, it makes pricing a little bit more difficult.",Paul Varga,,7,,,
may31_TAP_Q1_16_1,"Yeah, I was going to say, Bryan, we're focused on the moment of closing the brewery down and transitioning the volume to where it's supposed to be. That's our focus, here. And we just haven't made any decisions on what to do with a facility or the land at this point.",Gavin Hattersley,,8,,,
_may31_TSRYY_17_6,"The way to think about it is we sold the Tier 2 brands at the beginning of this year that's about a 1 million cases that we've offloaded, we've not reset the prior year number, so that's the first piece. Second piece is, don't forget we are also allocating some of our wines, not only the old TWE wines which are refreshed plus the new Diageo refreshed wines we're allocating some of those wines to Asia and other parts of the world. And then we are looking at investing and growing the portfolio in both America and also in outside of America.",Michael Clarke,,9,,,
_the_Pres_09_16_111,"The comments I made about the strategy we have well executed, giving us the opportunity to sustain the performance we've had, grow market share, deliver low single-digit growth, stands. And we are getting on with executing against those with confidence and energy. Look forward to speaking to you on the next call, if not before. Take care.",John Kennedy,,10,,,
y31_HEINY_Q4_14_68,So it's a very city-by-city approach and our commercial policy is geared to go where the growth is and enhance the growth. That is -- that's basically what we are doing.,Jean-Francois van Boxmeer,,11,,,
may31_TAP_Q2_16_6,"And as for the PACC model, of course, we're constantly updating the cost of capital that we would use to analyze and review the various alternatives, i.e. should we delever, should we invest behind our brands, or should we pursue certain M&A opportunities, or should we return money to shareholders. And obviously those rates will be adjusted and are adjusted accordingly, given what's happening in the market and our outlook going forward.",Mauricio Restrepo,,12,,,
_edit_DEO_q4_14_22,"And just a follow-up on that -- and maybe this just boils down to comparison, but spirits is decelerating, at least from your perspective, on a total industry basis. Beer is accelerating. So again, it's not like spirits is losing share, but the pace of share-taking is moderating a bit. And I'm just wondering, is that a function of what's going on in vodka? Is it purely comparison? Is it the on-trade dynamic? It just seems like that trend that's been so favorable is starting to reverse a little bit in favor of beer at the expense of spirits.",Ivan M. Menezes,,13,,,
